blockchain_index,blockchain_timestamp,event_id,device_id,rfid,source_timestamp,checkpoint,action,driver,vehicle,latitude,longitude,temperature_c,humidity_percent,shock_g_force,battery_percent,speed_kmh,fuel_percent,signal,anomaly
10,2026-06-14 23:19:16,11,PH-PAL-2026-0003,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Antonio Fernandez,CDO-5432,10.801159,122.479678,10.2,52.5,0.5,89,50,50,FAIR,NORMAL
11,2026-06-14 23:19:16,12,PH-PAL-2026-0003,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Antonio Fernandez,CDO-5432,10.751296,122.627391,9.9,65.3,0.24,85,60,95,EXCELLENT,NORMAL
12,2026-06-14 23:19:16,13,PH-CEB-2026-0004,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Reynaldo Mendoza,ILO-1234,8.537006,124.572784,7.4,53.5,0.17,76,30,35,EXCELLENT,NORMAL
13,2026-06-14 23:19:16,14,PH-CEB-2026-0004,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Reynaldo Mendoza,ILO-1234,8.424986,124.641649,6.1,66.0,0.78,88,15,65,GOOD,NORMAL
14,2026-06-14 23:19:16,15,PH-CEB-2026-0004,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Reynaldo Mendoza,ILO-1234,8.516461,124.601344,5.7,61.2,0.66,93,70,35,FAIR,NORMAL
15,2026-06-14 23:19:17,16,PH-CEB-2026-0004,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Reynaldo Mendoza,ILO-1234,8.387304,124.622657,7.1,58.0,0.49,95,30,80,EXCELLENT,NORMAL
16,2026-06-14 23:19:17,17,PH-SUB-2026-0005,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Ricardo Valdez,MAN-7845,7.030496,125.665581,6.5,51.1,0.43,93,50,65,GOOD,NORMAL
17,2026-06-14 23:19:17,18,PH-SUB-2026-0005,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Ricardo Valdez,MAN-7845,7.151748,125.587457,7.4,72.1,0.29,82,20,35,EXCELLENT,NORMAL
18,2026-06-14 23:19:17,19,PH-SUB-2026-0005,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Ricardo Valdez,MAN-7845,7.090815,125.649303,7.1,69.9,0.52,78,60,50,EXCELLENT,NORMAL
19,2026-06-14 23:19:17,20,PH-SUB-2026-0005,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Ricardo Valdez,MAN-7845,7.148186,125.687182,5.6,49.5,0.39,84,40,35,NONE,CONNECTION_LOST
20,2026-06-14 23:19:17,21,PH-CDO-2026-0006,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Miguel Rodriguez,CEB-9630,6.875498,122.138377,7.6,56.1,0.11,93,70,50,FAIR,NORMAL
21,2026-06-14 23:19:17,22,PH-CDO-2026-0006,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Miguel Rodriguez,CEB-9630,6.904979,122.165401,6.5,55.7,2.93,95,5,20,GOOD,SHOCK_DETECTED
22,2026-06-14 23:19:17,23,PH-CDO-2026-0006,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Miguel Rodriguez,CEB-9630,7.011249,122.02194,7.3,55.9,0.79,81,30,20,EXCELLENT,NORMAL
23,2026-06-14 23:19:17,24,PH-CDO-2026-0006,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Miguel Rodriguez,CEB-9630,6.862466,122.021778,10.2,48.9,0.79,83,80,50,FAIR,NORMAL
24,2026-06-14 23:19:17,25,PH-SUB-2026-0007,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Ricardo Valdez,ZAM-9876,7.137839,125.595096,6.9,67.3,0.64,95,70,80,NONE,CONNECTION_LOST
25,2026-06-14 23:19:17,26,PH-SUB-2026-0007,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Ricardo Valdez,ZAM-9876,7.02636,125.603682,10.0,74.3,3.28,95,20,95,NONE,SHOCK_DETECTED|CONNECTION_LOST
26,2026-06-14 23:19:18,27,PH-SUB-2026-0007,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Ricardo Valdez,ZAM-9876,7.048705,125.598542,10.1,71.2,0.76,95,30,65,GOOD,NORMAL
27,2026-06-14 23:19:18,28,PH-SUB-2026-0007,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Ricardo Valdez,ZAM-9876,7.020038,125.666579,8.8,73.0,0.33,79,50,35,EXCELLENT,NORMAL
28,2026-06-14 23:19:18,29,PH-MAN-2026-0008,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Reynaldo Mendoza,ZAM-9876,9.884698,118.722807,7.5,58.4,0.51,95,40,80,FAIR,NORMAL
29,2026-06-14 23:19:18,30,PH-MAN-2026-0008,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Reynaldo Mendoza,ZAM-9876,9.85402,118.764962,9.3,74.3,0.61,94,20,80,WEAK,NORMAL
30,2026-06-14 23:19:18,31,PH-MAN-2026-0008,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Reynaldo Mendoza,ZAM-9876,9.770988,118.664322,9.3,63.5,0.32,77,60,50,FAIR,NORMAL
31,2026-06-14 23:19:18,32,PH-MAN-2026-0008,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Reynaldo Mendoza,ZAM-9876,9.774364,118.726191,4.4,70.7,0.67,95,80,20,NONE,TEMP_EXCURSION|CONNECTION_LOST
32,2026-06-14 23:19:18,33,PH-BIC-2026-0009,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Lucia Romero,SUB-5678,8.471832,124.598539,8.8,68.5,0.68,91,30,35,WEAK,NORMAL
33,2026-06-14 23:19:18,34,PH-BIC-2026-0009,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Lucia Romero,SUB-5678,8.539068,124.547171,7.8,53.4,0.46,86,20,35,FAIR,NORMAL
34,2026-06-14 23:19:18,35,PH-BIC-2026-0009,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Lucia Romero,SUB-5678,8.493989,124.671434,6.0,45.1,0.71,75,40,65,GOOD,NORMAL
35,2026-06-14 23:19:18,36,PH-BIC-2026-0009,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Lucia Romero,SUB-5678,8.435639,124.717183,6.8,71.9,0.4,93,80,50,EXCELLENT,NORMAL
36,2026-06-14 23:19:18,37,PH-DAV-2026-0010,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Jorge Hernandez,SUB-5678,13.72207,121.0113,5.7,72.4,0.38,85,60,20,WEAK,NORMAL
37,2026-06-14 23:19:19,38,PH-DAV-2026-0010,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Jorge Hernandez,SUB-5678,13.749102,121.144422,9.8,63.0,0.5,93,10,35,NONE,CONNECTION_LOST
38,2026-06-14 23:19:19,39,PH-DAV-2026-0010,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Jorge Hernandez,SUB-5678,13.837472,121.140822,5.6,63.7,0.45,76,40,65,FAIR,NORMAL
39,2026-06-14 23:19:19,40,PH-DAV-2026-0010,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Jorge Hernandez,SUB-5678,13.720024,121.111108,6.8,65.1,0.56,75,80,95,EXCELLENT,NORMAL
40,2026-06-14 23:19:19,41,PH-BAT-2026-0011,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Miguel Rodriguez,ILO-1234,10.366618,123.963624,6.1,65.4,0.71,78,60,95,FAIR,NORMAL
41,2026-06-14 23:19:19,42,PH-BAT-2026-0011,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Miguel Rodriguez,ILO-1234,10.337865,123.857709,9.1,74.0,0.59,79,15,65,FAIR,NORMAL
42,2026-06-14 23:19:19,43,PH-BAT-2026-0011,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Miguel Rodriguez,ILO-1234,10.230451,123.855835,9.3,50.6,0.29,76,70,65,FAIR,NORMAL
43,2026-06-14 23:19:19,44,PH-BAT-2026-0011,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Miguel Rodriguez,ILO-1234,10.272282,123.973283,7.9,59.3,0.54,84,80,20,GOOD,NORMAL
44,2026-06-14 23:19:19,45,PH-BIC-2026-0012,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Juan dela Cruz,CEB-9630,13.458631,123.32508,10.0,65.0,0.78,79,70,20,EXCELLENT,NORMAL
45,2026-06-14 23:19:19,46,PH-BIC-2026-0012,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Juan dela Cruz,CEB-9630,13.434908,123.185026,7.1,66.8,0.78,87,5,95,FAIR,NORMAL
46,2026-06-14 23:19:19,47,PH-BIC-2026-0012,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Juan dela Cruz,CEB-9630,13.445089,123.157425,6.6,55.2,0.16,79,70,65,NONE,CONNECTION_LOST
47,2026-06-14 23:19:19,48,PH-BIC-2026-0012,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Juan dela Cruz,CEB-9630,13.473668,123.224209,10.3,63.7,0.79,92,50,50,NONE,CONNECTION_LOST
48,2026-06-14 23:19:20,49,PH-DAV-2026-0013,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Elena Diaz,ZAM-9876,9.91624,118.801202,7.2,57.7,0.71,76,70,20,WEAK,NORMAL
49,2026-06-14 23:19:20,50,PH-DAV-2026-0013,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Elena Diaz,ZAM-9876,9.813379,118.679605,10.2,54.8,0.54,79,10,65,WEAK,NORMAL
50,2026-06-14 23:19:20,51,PH-DAV-2026-0013,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Elena Diaz,ZAM-9876,9.749462,118.66563,5.8,69.2,0.51,85,30,65,GOOD,NORMAL
51,2026-06-14 23:19:20,52,PH-DAV-2026-0013,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Elena Diaz,ZAM-9876,9.878329,118.795267,6.1,66.1,0.73,93,80,80,GOOD,NORMAL
52,2026-06-14 23:19:20,53,PH-ILO-2026-0014,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Carmen Ramirez,CDO-5432,14.864477,120.300066,10.4,66.3,0.31,91,30,20,FAIR,NORMAL
53,2026-06-14 23:19:20,54,PH-ILO-2026-0014,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Carmen Ramirez,CDO-5432,14.811281,120.196563,9.3,74.6,0.15,89,10,80,WEAK,NORMAL
54,2026-06-14 23:19:20,55,PH-ILO-2026-0014,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Carmen Ramirez,CDO-5432,14.800692,120.336549,6.8,69.4,0.32,85,60,80,FAIR,NORMAL
55,2026-06-14 23:19:20,56,PH-ILO-2026-0014,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Carmen Ramirez,CDO-5432,14.873022,120.280391,9.6,56.2,0.68,89,70,50,NONE,CONNECTION_LOST
56,2026-06-14 23:19:20,57,PH-DAV-2026-0015,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Miguel Rodriguez,SUB-5678,14.60664,121.073806,10.2,53.0,2.75,92,80,95,NONE,SHOCK_DETECTED|CONNECTION_LOST
57,2026-06-14 23:19:20,58,PH-DAV-2026-0015,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Miguel Rodriguez,SUB-5678,14.626929,121.063276,6.1,50.3,2.57,95,20,80,GOOD,SHOCK_DETECTED
58,2026-06-14 23:19:20,59,PH-DAV-2026-0015,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Miguel Rodriguez,SUB-5678,14.687785,121.024001,5.8,46.8,0.79,80,40,50,FAIR,NORMAL
59,2026-06-14 23:19:21,60,PH-DAV-2026-0015,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Miguel Rodriguez,SUB-5678,14.619605,121.000003,6.2,48.7,0.65,86,60,35,FAIR,NORMAL
60,2026-06-14 23:19:21,61,PH-ILO-2026-0016,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Elena Diaz,SUB-5678,10.734891,122.586132,8.5,73.8,0.65,93,40,50,WEAK,NORMAL
61,2026-06-14 23:19:21,62,PH-ILO-2026-0016,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Elena Diaz,SUB-5678,10.754667,122.587892,7.9,63.9,0.3,79,5,35,NONE,CONNECTION_LOST
62,2026-06-14 23:19:21,63,PH-ILO-2026-0016,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Elena Diaz,SUB-5678,10.714704,122.620826,8.5,46.3,0.56,85,40,95,GOOD,NORMAL
63,2026-06-14 23:19:21,64,PH-ILO-2026-0016,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Elena Diaz,SUB-5678,10.734254,122.626996,6.7,65.2,4.0,91,40,35,GOOD,SHOCK_DETECTED
64,2026-06-14 23:19:21,65,PH-ZAM-2026-0017,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Juan dela Cruz,ZAM-9876,10.372015,123.949828,7.4,54.9,0.39,82,60,50,GOOD,NORMAL
65,2026-06-14 23:19:21,66,PH-ZAM-2026-0017,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Juan dela Cruz,ZAM-9876,10.323753,123.914027,9.9,54.5,0.78,80,20,35,FAIR,NORMAL
66,2026-06-14 23:19:21,67,PH-ZAM-2026-0017,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Juan dela Cruz,ZAM-9876,10.382126,123.890124,9.1,57.2,0.54,81,60,35,GOOD,NORMAL
67,2026-06-14 23:19:21,68,PH-ZAM-2026-0017,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Juan dela Cruz,ZAM-9876,10.234311,123.872631,6.6,70.6,0.74,84,80,35,WEAK,NORMAL
68,2026-06-14 23:19:21,69,PH-BIC-2026-0018,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Reynaldo Mendoza,CDO-5432,6.944405,122.074306,7.7,73.1,2.99,82,70,65,NONE,SHOCK_DETECTED|CONNECTION_LOST
69,2026-06-14 23:19:21,70,PH-BIC-2026-0018,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Reynaldo Mendoza,CDO-5432,6.983363,122.026798,9.2,56.1,3.31,77,15,80,NONE,SHOCK_DETECTED|CONNECTION_LOST
70,2026-06-14 23:19:22,71,PH-BIC-2026-0018,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Reynaldo Mendoza,CDO-5432,6.88278,122.034966,9.4,62.9,0.4,94,60,80,WEAK,NORMAL
71,2026-06-14 23:19:22,72,PH-BIC-2026-0018,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Reynaldo Mendoza,CDO-5432,6.852072,122.161866,8.1,56.3,0.27,76,60,95,EXCELLENT,NORMAL
72,2026-06-14 23:19:22,73,PH-CDO-2026-0019,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Elena Diaz,ILO-1234,13.701784,120.998367,9.7,67.2,0.72,75,60,80,WEAK,NORMAL
73,2026-06-14 23:19:22,74,PH-CDO-2026-0019,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Elena Diaz,ILO-1234,13.769132,121.056881,4.2,58.2,0.1,95,5,50,EXCELLENT,TEMP_EXCURSION
74,2026-06-14 23:19:22,75,PH-CDO-2026-0019,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Elena Diaz,ILO-1234,13.808634,121.089791,6.3,61.9,0.79,88,60,35,NONE,CONNECTION_LOST
75,2026-06-14 23:19:22,76,PH-CDO-2026-0019,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Elena Diaz,ILO-1234,13.682518,121.049425,7.0,73.3,0.38,90,30,95,NONE,CONNECTION_LOST
76,2026-06-14 23:19:22,77,PH-MAN-2026-0020,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Pedro Lopez,SUB-5678,14.583538,120.89156,6.8,72.9,0.66,83,80,20,WEAK,NORMAL
77,2026-06-14 23:19:22,78,PH-MAN-2026-0020,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Pedro Lopez,SUB-5678,14.515369,121.051489,7.0,60.7,0.67,84,15,80,FAIR,NORMAL
78,2026-06-14 23:19:22,79,PH-MAN-2026-0020,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Pedro Lopez,SUB-5678,14.611669,120.994494,8.9,46.3,0.42,88,70,80,WEAK,NORMAL
79,2026-06-14 23:19:22,80,PH-MAN-2026-0020,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Pedro Lopez,SUB-5678,14.62198,121.047597,6.0,74.6,0.21,83,60,65,EXCELLENT,NORMAL
